,id,movie,year,date_released,time_minute,budget,imdb_rating,metascore,vote,gross_earning,genre,original_language,certificate,Oscar,COVID
0,tt6294822,The Post,2017,1/19/17,116,50000000,7.2,83,132894,179769467,"Drama, Thriller",en,PG-13,0,0
1,tt5776858,Phantom Thread,2017,12/25/17,130,35000000,7.5,90,108958,47756590,"Drama, Romance",en,R,0,0
2,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,11/10/17,115,15000000,8.2,88,419889,160192031,"Comedy, Crime, Drama",en,R,0,0
3,tt4925292,Lady Bird,2017,9/8/17,94,10000000,7.4,94,234677,76858273,"Comedy, Drama",en,R,0,0
4,tt4555426,Darkest Hour,2017,11/22/17,125,30000000,7.4,75,168679,150847207,"Biography, Drama, History",en,PG-13,0,0
5,tt5580390,The Shape of Water,2017,12/1/17,123,19500000,7.3,87,362803,194989655,"Adventure, Drama, Fantasy",en,R,1,0
6,tt5013056,Dunkirk,2017,7/19/17,106,100000000,7.9,94,541969,525573161,"Action, Drama, History",en,PG-13,0,0
7,tt5052448,Get Out,2017,2/24/17,104,4500000,7.7,85,482103,255407969,"Horror, Mystery, Thriller",en,R,0,0
8,tt5726616,Call Me by Your Name,2017,9/1/17,132,4000000,7.9,93,204835,41063475,"Drama, Romance",en,R,0,0
9,tt2671706,Fences,2016,12/16/16,139,24000000,7.2,79,96478,64414761,Drama,en,PG-13,0,0
10,tt4846340,Hidden Figures,2016,12/10/16,127,25000000,7.8,74,196571,230698791,"Biography, Drama, History",en,PG,0,0
11,tt3741834,Lion,2016,1/20/16,118,12000000,8,69,209858,140312928,"Biography, Drama",en,PG-13,0,0
12,tt2119532,Hacksaw Ridge,2016,10/7/16,139,40000000,8.1,71,425820,175302354,"Biography, Drama, History",en,R,0,0
13,tt4975722,Moonlight,2016,10/21/16,111,4000000,7.4,99,267907,65046687,Drama,en,R,1,0
14,tt2543164,Arrival,2016,11/10/16,116,47000000,7.9,81,583620,203388186,"Drama, Mystery, Sci-Fi",en,PG-13,0,0
15,tt3783958,La La Land,2016,11/29/16,128,30000000,8,94,494895,446486224,"Comedy, Drama, Music",en,PG-13,0,0
16,tt2582782,Hell or High Water,2016,8/12/16,102,12000000,7.6,88,200841,37589296,"Action, Crime, Drama",en,R,0,0
17,tt4034228,Manchester by the Sea,2016,11/18/16,137,9000000,7.8,96,242206,78988148,Drama,en,R,0,0
18,tt1663202,The Revenant,2015,12/25/15,156,135000000,8,76,693062,532950503,"Action, Adventure, Drama",en,R,0,0
19,tt1596363,The Big Short,2015,12/11/15,130,28000000,7.8,81,354405,133346506,"Biography, Comedy, Drama",en,R,0,0
20,tt3682448,Bridge of Spies,2015,10/15/15,142,40000000,7.6,81,283866,165478348,"Drama, History, Thriller",en,PG-13,0,0
21,tt3659388,The Martian,2015,9/30/15,144,108000000,8,80,748839,630161890,"Adventure, Drama, Sci-Fi",en,PG-13,0,0
22,tt3170832,Room,2015,10/16/15,118,13000000,8.1,86,363603,35401758,"Drama, Thriller",en,R,0,0
23,tt1895587,Spotlight,2015,11/6/15,129,20000000,8.1,93,412620,98690254,"Biography, Crime, Drama",en,R,1,0
24,tt1392190,Mad Max: Fury Road,2015,5/13/15,120,150000000,8.1,90,867056,378858340,"Action, Adventure, Sci-Fi",en,R,0,0
25,tt2381111,Brooklyn,2015,10/20/15,117,11000000,7.5,88,129241,62076141,"Drama, Romance",en,PG-13,0,0
26,tt2179136,American Sniper,2014,12/11/14,133,58800000,7.3,72,434135,542307423,"Action, Biography, Drama",en,R,0,0
27,tt1020072,Selma,2014,12/25/14,128,20000000,7.5,80,85155,66787908,"Biography, Drama, History",en,PG-13,0,0
28,tt2980516,The Theory of Everything,2014,11/26/14,123,15000000,7.7,72,397334,123726688,"Biography, Drama, Romance",en,PG-13,0,0
29,tt2084970,The Imitation Game,2014,11/14/14,114,14000000,8,73,675036,233555708,"Biography, Drama, Thriller",en,PG-13,0,0
30,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,8/27/14,119,18000000,7.7,87,572361,103215094,"Comedy, Drama",en,R,1,0
31,tt2278388,The Grand Budapest Hotel,2014,2/26/14,99,30000000,8.1,88,695611,174600318,"Adventure, Comedy, Crime",en,R,0,0
32,tt1065073,Boyhood,2014,6/5/14,165,4000000,7.9,100,332806,44349000,Drama,en,R,0,0
33,tt2582802,Whiplash,2014,10/10/14,106,3300000,8.5,88,701722,13092000,"Drama, Music",en,R,0,0
34,tt1800241,American Hustle,2013,12/12/13,138,40000000,7.2,90,443887,251171807,"Crime, Drama",en,R,0,0
35,tt0993846,The Wolf of Wall Street,2013,12/25/13,180,100000000,8.2,75,1158805,392000694,"Biography, Crime, Drama",en,R,0,0
36,tt1798709,Her,2013,12/18/13,126,23000000,8,90,531183,47351251,"Drama, Romance, Sci-Fi",en,R,0,0
37,tt1535109,Captain Phillips,2013,10/10/13,134,55000000,7.8,82,415828,95000000,"Adventure, Biography, Crime",en,PG-13,0,0
38,tt0790636,Dallas Buyers Club,2013,11/17/13,117,5000000,8,80,434738,55736588,"Biography, Drama",en,R,0,0
39,tt2431286,Philomena,2013,11/1/13,98,12000000,7.6,77,93418,100129872,"Biography, Comedy, Drama",en,PG-13,0,0
40,tt2024544,12 Years a Slave,2013,10/18/13,134,20000000,8.1,96,631255,187000000,"Biography, Drama, History",en,R,1,0
41,tt1454468,Gravity,2013,10/3/13,91,105000000,7.7,96,761411,723192705,"Drama, Sci-Fi, Thriller",en,PG-13,0,0
42,tt1821549,Nebraska,2013,9/21/13,115,12000000,7.7,87,111382,17654912,"Adventure, Comedy, Drama",en,R,0,0
43,tt1853728,Django Unchained,2012,12/25/12,165,100000000,8.4,81,1334562,425368238,"Drama, Western",en,R,0,0
44,tt1790885,Zero Dark Thirty,2012,12/19/12,157,40000000,7.4,95,268815,132820716,"Drama, History, Thriller",en,R,0,0
45,tt1707386,Les Misérables,2012,12/18/12,158,61000000,7.6,63,305555,441809770,"Drama, History, Musical",en,PG-13,0,0
46,tt0443272,Lincoln,2012,11/9/12,150,65000000,7.3,86,242194,275293450,"Biography, Drama, History",en,PG-13,0,0
47,tt0454876,Life of Pi,2012,11/20/12,127,120000000,7.9,79,574537,609016565,"Adventure, Drama, Fantasy",en,PG,0,0
48,tt1045658,Silver Linings Playbook,2012,9/8/12,122,21000000,7.7,81,655278,236412453,"Comedy, Drama, Romance",en,R,0,0
49,tt1024648,Argo,2012,10/11/12,120,44500000,7.7,86,567011,232324128,"Biography, Drama, Thriller",en,R,1,0
50,tt1602620,Amour,2012,7/1/12,127,8900000,7.9,94,91995,29844753,"Drama, Romance",fr,PG-13,0,0
51,tt2125435,Beasts of the Southern Wild,2012,6/29/12,93,1800000,7.3,86,80137,21107746,"Adventure, Drama, Fantasy",en,PG-13,0,0
52,tt0477302,Extremely Loud & Incredibly Close,2011,12/24/11,129,40000000,6.9,46,97157,55247881,"Adventure, Drama, Mystery",en,PG-13,0,0
53,tt1568911,War Horse,2011,12/25/11,146,66000000,7.2,72,145363,177584879,"Action, Adventure, Drama",en,PG-13,0,0
54,tt0970179,Hugo,2011,11/22/11,126,170000000,7.5,83,301859,185770160,"Drama, Family, Fantasy",en,PG,0,0
55,tt1210166,Moneyball,2011,9/22/11,133,50000000,7.6,87,362505,110206216,"Biography, Drama, Sport",en,PG-13,0,0
56,tt1033575,The Descendants,2011,9/9/11,115,20000000,7.3,84,231224,177243185,"Comedy, Drama",en,R,0,0
57,tt1454029,The Help,2011,8/9/11,146,25000000,8,62,423189,216639112,Drama,en,PG-13,0,0
58,tt0478304,The Tree of Life,2011,5/18/11,139,32000000,6.8,85,166524,54674226,"Drama, Fantasy",en,PG-13,0,0
59,tt1655442,The Artist,2011,10/8/11,100,15000000,7.9,89,228801,133432856,"Comedy, Drama, Romance",en,PG-13,1,0
60,tt1605783,Midnight in Paris,2011,5/11/11,94,30000000,7.7,81,383641,151119219,"Comedy, Fantasy, Romance",en,PG-13,0,0
61,tt1403865,True Grit,2010,12/22/10,110,38000000,7.6,80,307985,252276927,"Drama, Western",en,PG-13,0,0
62,tt0964517,The Fighter,2010,12/17/10,116,25000000,7.8,79,336749,93617009,"Biography, Drama, Sport",en,R,0,0
63,tt1285016,The Social Network,2010,10/1/10,120,40000000,7.7,95,615834,224920315,"Biography, Drama",en,PG-13,0,0
64,tt1504320,The King's Speech,2010,9/6/10,118,15000000,8,88,632774,414211549,"Biography, Drama, History",en,R,1,0
65,tt1542344,127 Hours,2010,11/5/10,94,18000000,7.5,82,344601,35692920,"Adventure, Biography, Drama",en,R,0,0
66,tt0947798,Black Swan,2010,12/3/10,108,13000000,8,79,691584,329398046,"Drama, Thriller",en,R,0,0
67,tt1375666,Inception,2010,7/15/10,148,160000000,8.8,74,2031297,825532764,"Action, Adventure, Sci-Fi",en,PG-13,0,0
68,tt0435761,Toy Story 3,2010,6/16/10,103,200000000,8.3,92,747174,1066969703,"Animation, Adventure, Comedy",en,G,0,0
69,tt0842926,The Kids Are All Right,2010,7/9/10,106,3500000,7,86,125103,34705850,"Comedy, Drama, Romance",en,R,0,0
70,tt1399683,Winter's Bone,2010,6/11/10,100,2000000,7.1,90,134773,13831503,"Drama, Mystery",en,R,0,0
71,tt0499549,Avatar,2009,12/10/09,162,237000000,7.8,83,1108620,2787965087,"Action, Adventure, Fantasy",en,PG-13,0,0
72,tt0878804,The Blind Side,2009,11/20/09,129,29000000,7.6,53,288900,309208309,"Biography, Drama, Sport",en,PG-13,0,0
73,tt1019452,A Serious Man,2009,9/30/09,106,7000000,7,84,132199,31430334,"Comedy, Drama",en,R,0,0
74,tt1193138,Up in the Air,2009,9/5/09,109,25000000,7.4,83,315934,163670000,"Comedy, Drama, Romance",en,R,0,0
75,tt1136608,District 9,2009,8/5/09,112,30000000,7.9,81,633828,210819611,"Action, Sci-Fi, Thriller",en,R,0,0
76,tt0361748,Inglourious Basterds,2009,8/18/09,153,70000000,8.3,69,1245424,321455689,"Adventure, Drama, War",en,R,0,0
77,tt1049413,Up,2009,5/28/09,96,175000000,8.2,88,921464,735099082,"Animation, Adventure, Comedy",en,PG,0,0
78,tt1174732,An Education,2009,10/29/09,100,7500000,7.3,85,127702,26096852,Drama,en,PG-13,0,0
79,tt0929632,Precious,2009,11/6/09,110,10000000,7.3,78,104845,47536959,Drama,en,R,0,0
80,tt0421715,The Curious Case of Benjamin Button,2008,12/25/08,166,150000000,7.8,70,581283,333932083,"Drama, Fantasy, Romance",en,PG-13,0,0
81,tt0976051,The Reader,2008,1/2/08,124,32000000,7.6,58,228649,113019290,"Drama, Romance",en,R,0,0
82,tt1013753,Milk,2008,11/5/08,128,20000000,7.5,84,163339,54586584,"Biography, Drama",en,R,0,0
83,tt0870111,Frost/Nixon,2008,10/15/08,122,25000000,7.7,80,102284,18593156,"Biography, Drama, History",en,R,0,0
84,tt1010048,Slumdog Millionaire,2008,5/12/08,120,15000000,8,84,791375,377910544,"Drama, Romance",en,R,1,0
85,tt0467406,Juno,2007,12/5/07,96,7500000,7.4,81,486404,231411584,"Comedy, Drama",en,PG-13,0,0
86,tt0465538,Michael Clayton,2007,7/12/07,119,25000000,7.2,82,155184,92991835,"Crime, Drama, Mystery",en,R,0,0
87,tt0783233,Atonement,2007,9/7/07,123,30000000,7.8,85,247452,131016624,"Drama, Mystery, Romance",en,R,0,0
88,tt0477348,No Country for Old Men,2007,11/8/07,122,25000000,8.1,91,842243,171627166,"Crime, Drama, Thriller",en,R,1,0
89,tt0498380,Letters from Iwo Jima,2006,12/19/06,141,19000000,7.9,89,152972,68673228,"Action, Adventure, Drama",en,R,0,0
90,tt0407887,The Departed,2006,10/5/06,151,90000000,8.5,85,1172148,291465034,"Crime, Drama, Thriller",en,R,1,0
91,tt0436697,The Queen,2006,9/15/06,103,15000000,7.3,91,103221,123384128,"Biography, Drama, History",en,PG-13,0,0
92,tt0449467,Babel,2006,9/8/06,143,25000000,7.4,69,287047,135330182,Drama,en,R,0,0
93,tt0449059,Little Miss Sunshine,2006,7/26/06,101,8000000,7.8,80,435317,100523181,"Comedy, Drama",en,R,0,0
94,tt0408306,Munich,2005,12/23/05,164,70000000,7.5,74,210214,130358911,"Action, Drama, History",en,R,0,0
95,tt0388795,Brokeback Mountain,2005,9/10/05,134,14000000,7.7,87,319651,178043761,"Drama, Romance",en,R,0,0
96,tt0379725,Capote,2005,9/30/05,114,7000000,7.3,88,124199,49084830,"Biography, Crime, Drama",en,R,0,0
97,tt0433383,"Good Night, and Good Luck.",2005,9/16/05,93,7000000,7.4,80,93541,54600000,"Biography, Drama, History",en,PG,0,0
98,tt0338751,The Aviator,2004,12/17/04,170,110000000,7.5,77,329962,213719942,"Biography, Drama",en,PG-13,0,0
99,tt0405159,Million Dollar Baby,2004,12/15/04,132,30000000,8.1,86,628745,216763646,"Drama, Sport",en,PG-13,1,0
100,tt0375063,Sideways,2004,10/22/04,127,16000000,7.5,94,178071,109502303,"Comedy, Drama, Romance",en,R,0,0
101,tt0350258,Ray,2004,10/29/04,152,40000000,7.7,73,137043,124731534,"Biography, Drama, Music",en,PG-13,0,0
102,tt0375679,Crash,2004,5/6/05,112,6500000,7.7,66,416981,98410061,"Crime, Drama, Thriller",en,R,1,0
103,tt0308644,Finding Neverland,2004,10/17/04,106,25000000,7.7,67,197228,116766556,"Biography, Drama, Family",en,PG,0,0
104,tt0167260,The Lord of the Rings: The Return of the King,2003,12/1/03,201,94000000,8.9,94,1619911,1118888979,"Action, Adventure, Drama",en,PG-13,1,0
105,tt0311113,Master and Commander: The Far Side of the World,2003,11/14/03,138,150000000,7.4,81,199934,212011111,"Action, Adventure, Drama",en,PG-13,0,0
106,tt0335266,Lost in Translation,2003,9/18/03,102,4000000,7.7,89,408650,119723856,"Comedy, Drama",en,R,0,0
107,tt0329575,Seabiscuit,2003,7/22/03,140,87000000,7.3,72,66386,148336445,"Drama, History, Sport",en,PG-13,0,0
108,tt0327056,Mystic River,2003,10/7/03,138,25000000,7.9,84,414774,156822020,"Crime, Drama, Mystery",en,R,0,0
109,tt0274558,The Hours,2002,12/27/02,110,25000000,7.5,80,123226,41597830,"Drama, Romance",en,PG-13,0,0
110,tt0299658,Chicago,2002,12/26/02,113,45000000,7.1,81,213917,306776732,"Comedy, Crime, Musical",en,PG-13,1,0
111,tt0217505,Gangs of New York,2002,12/14/02,167,100000000,7.5,72,400549,193772504,"Crime, Drama",en,R,0,0
112,tt0167261,The Lord of the Rings: The Two Towers,2002,12/18/02,179,79000000,8.7,87,1464267,926287400,"Action, Adventure, Drama",en,PG-13,0,0
113,tt0253474,The Pianist,2002,9/17/02,150,35000000,8.5,85,717171,120072577,"Biography, Drama, Music",en,R,0,0
114,tt0268978,A Beautiful Mind,2001,12/11/01,135,60000000,8.2,72,836626,313542341,"Biography, Drama",en,PG-13,1,0
115,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,12/18/01,178,93000000,8.8,92,1635754,871368364,"Action, Adventure, Drama",en,PG-13,0,0
116,tt0280707,Gosford Park,2001,11/7/01,131,19800000,7.2,90,79633,87754044,"Comedy, Drama, Mystery",en,R,0,0
117,tt0203009,Moulin Rouge!,2001,5/24/01,127,52500000,7.6,66,264598,179213434,"Drama, Musical, Romance",en,PG-13,0,0
118,tt0247425,In the Bedroom,2001,11/23/01,131,1700000,7.4,86,37140,0,"Crime, Drama",en,R,0,0
119,tt0241303,Chocolat,2000,3/2/00,121,25000000,7.2,64,176283,152500343,"Drama, Romance",en,PG-13,0,0
120,tt0181865,Traffic,2000,3/23/00,147,48000000,7.6,86,194284,207515725,"Crime, Drama, Thriller",en,R,0,0
121,tt0190332,"Crouching Tiger, Hidden Dragon",2000,7/6/00,120,17000000,7.8,94,250997,213525736,"Action, Adventure, Fantasy",zh,PG-13,0,0
122,tt0172495,Gladiator,2000,5/1/00,155,103000000,8.5,67,1321995,465361176,"Action, Adventure, Drama",en,R,1,0
123,tt0195685,Erin Brockovich,2000,3/17/00,131,52000000,7.3,73,172353,256271286,"Biography, Drama",en,R,0,0
124,tt0120689,The Green Mile,1999,12/10/99,189,60000000,8.6,61,1127553,286801374,"Crime, Drama, Fantasy",en,R,0,0
125,tt0140352,The Insider,1999,3/10/99,157,90000000,7.8,84,158171,60289912,"Biography, Drama, Thriller",en,R,0,0
126,tt0169547,American Beauty,1999,9/15/99,122,15000000,8.3,84,1057899,356296601,Drama,en,R,1,0
127,tt0124315,The Cider House Rules,1999,12/17/99,126,24000000,7.4,75,92430,88545092,"Drama, Romance",en,PG-13,0,0
128,tt0167404,The Sixth Sense,1999,8/6/99,107,40000000,8.1,64,901989,672806292,"Drama, Mystery, Thriller",en,PG-13,0,0
129,tt0120863,The Thin Red Line,1998,3/5/98,170,52000000,7.6,78,170779,98126565,"Drama, War",en,R,0,0
130,tt0138097,Shakespeare in Love,1998,1/29/98,123,25000000,7.1,87,212221,289317794,"Comedy, Drama, History",en,R,1,0
131,tt0127536,Elizabeth,1998,9/13/98,124,30000000,7.4,75,92256,82150642,"Biography, Drama, History",en,R,0,0
132,tt0120815,Saving Private Ryan,1998,7/24/98,169,70000000,8.6,91,1217438,481840909,"Drama, War",en,R,0,0
133,tt0118799,Life Is Beautiful,1997,12/20/97,116,20000000,8.6,59,613411,229400000,"Comedy, Drama, Romance",it,PG-13,0,0
134,tt0119822,As Good as It Gets,1997,12/19/97,139,50000000,7.7,67,272179,314178011,"Comedy, Drama, Romance",en,PG-13,0,0
135,tt0119217,Good Will Hunting,1997,12/5/97,126,10000000,8.3,70,847755,225933435,"Drama, Romance",en,R,0,0
136,tt0120338,Titanic,1997,11/18/97,194,200000000,7.8,75,1032135,2187463944,"Drama, Romance",en,PG-13,1,0
137,tt0119164,The Full Monty,1997,8/13/97,91,3500000,7.2,75,97879,257850122,"Comedy, Drama",en,R,0,0
138,tt0119488,L.A. Confidential,1997,9/19/97,138,35000000,8.2,90,526044,126216940,"Crime, Drama, Mystery",en,R,0,0
139,tt0116695,Jerry Maguire,1996,12/13/96,139,50000000,7.3,77,240401,273552592,"Comedy, Drama, Romance",en,R,0,0
140,tt0116209,The English Patient,1996,11/5/96,162,27000000,7.4,87,176800,231976425,"Drama, Romance, War",en,R,1,0
141,tt0117589,Secrets & Lies,1996,5/24/96,136,4500000,8,91,36947,13417292,"Comedy, Drama",en,R,0,0
142,tt0116282,Fargo,1996,3/8/96,98,7000000,8.1,85,608145,60611975,"Crime, Drama, Thriller",en,R,0,0
143,tt0117631,Shine,1996,8/15/96,105,5500000,7.7,87,50882,35892330,"Biography, Drama, Music",en,PG-13,0,0
144,tt0114388,Sense and Sensibility,1995,12/13/95,136,16000000,7.6,84,100858,134582776,"Drama, Romance",en,PG,0,0
145,tt0112431,Babe,1995,7/18/95,91,30000000,6.8,83,115821,254134910,"Comedy, Drama, Family",en,G,0,0
146,tt0112384,Apollo 13,1995,6/30/95,140,52000000,7.6,77,264746,355237933,"Adventure, Drama, History",en,PG,0,0
147,tt0112573,Braveheart,1995,5/24/95,178,72000000,8.3,68,949060,210000000,"Biography, Drama, History",en,R,1,0
148,tt0110932,Quiz Show,1994,8/25/94,133,0,7.5,92,64073,0,"Biography, Drama, History",en,PG-13,0,0
149,tt0111161,The Shawshank Redemption,1994,9/23/94,142,25000000,9.3,80,2306065,28341469,Drama,en,R,0,0
150,tt0110877,Il Postino,1994,4/7/94,108,0,7.7,81,33188,0,"Biography, Comedy, Drama",it,PG,0,0
151,tt0109830,Forrest Gump,1994,7/6/94,142,55000000,8.8,82,1777275,677387716,"Drama, Romance",en,PG-13,1,0
152,tt0110912,Pulp Fiction,1994,9/10/94,154,8000000,8.9,94,1799841,214179088,"Crime, Drama",en,R,0,0
153,tt0109831,Four Weddings and a Funeral,1994,3/9/94,117,6000000,7,81,137437,254700832,"Comedy, Drama, Romance",en,R,0,0
154,tt0107207,In the Name of the Father,1993,12/12/93,133,13000000,8.1,84,154675,65796862,"Biography, Drama",en,R,0,0
155,tt0108052,Schindler's List,1993,11/30/93,195,22000000,8.9,94,1196413,321365567,"Biography, Drama, History",en,R,1,0
156,tt0107943,The Remains of the Day,1993,11/5/93,134,11500000,7.8,84,64873,23237911,"Drama, Romance",en,PG,0,0
157,tt0106977,The Fugitive,1993,8/6/93,130,44000000,7.8,87,264342,368875760,"Action, Crime, Drama",en,PG-13,0,0
158,tt0107822,The Piano,1993,5/19/93,121,7000000,7.6,89,78120,116700000,"Drama, Music, Romance",en,R,0,0
159,tt0105323,Scent of a Woman,1992,12/23/92,156,31000000,8,59,258149,134095253,Drama,en,R,0,0
160,tt0104257,A Few Good Men,1992,12/11/92,138,40000000,7.7,62,232145,243240178,"Drama, Thriller",en,R,0,0
161,tt0104036,The Crying Game,1992,9/2/92,112,3705538,7.2,90,50579,62548947,"Crime, Drama, Romance",en,R,0,0
