,id,movie,year,date_released,time_minute,budget,imdb_rating,metascore,vote,gross_earning,genre,original_language,certificate,Oscar,COVID
0,tt1160419,Dune,2021,9/30/21,,0,,,0,0,"Adventure, Drama, Sci-Fi",en,-,0,1
1,tt9347730,Candyman,2021,8/27/21,,0,,,0,0,"Horror, Thriller",en,R,0,1
2,tt1745960,Top Gun: Maverick,2021,7/1/21,,0,,,0,0,"Action, Drama",en,-,0,1
3,tt10342730,Spiral,2021,5/19/21,,0,,,0,0,"Crime, Horror, Mystery",en,R,0,1
4,tt3480822,Black Widow,2021,4/29/21,,0,,,0,0,"Action, Adventure, Sci-Fi",en,-,0,1
5,tt5108870,Morbius,2021,3/17/21,,0,,,0,0,"Action, Adventure, Drama",en,Unrated,0,1
6,tt6856242,The King's Man,2021,2/10/21,,0,,,0,0,"Action, Adventure, Comedy",en,R,0,1
7,tt7126948,Wonder Woman 1984,2020,12/23/20,151,0,,,0,0,"Action, Adventure, Fantasy",en,PG-13,0,1
8,tt6802400,Coming 2 America,2020,12/18/20,,0,,,0,0,Comedy,en,-,0,1
9,tt2850386,The Croods: A New Age,2020,11/19/20,95,0,,,0,0,"Animation, Adventure, Comedy",en,PG,0,1
10,tt5498354,Horizon Line,2020,10/29/20,92,0,5.2,,170,0,Thriller,en,PG-13,0,1
11,tt13143964,Borat Subsequent Moviefilm,2020,10/23/20,95,0,6.8,68,82490,0,"Adventure, Comedy",en,R,0,1
12,tt7846844,Enola Holmes,2020,9/23/20,123,21000000,6.6,68,101543,0,"Action, Adventure, Crime",en,PG-13,0,1
13,tt7395114,The Devil All the Time,2020,9/11/20,138,0,7.1,55,73003,0,"Crime, Drama, Thriller",en,R,0,1
14,tt11024272,The Babysitter: Killer Queen,2020,9/10/20,101,0,5.8,22,23070,0,"Comedy, Horror",en,TV-MA,0,1
15,tt1086064,Bill & Ted Face the Music,2020,8/27/20,91,25000000,6.1,65,23133,0,"Adventure, Comedy, Music",en,PG-13,0,1
16,tt4682266,The New Mutants,2020,8/26/20,94,67000000,5.3,43,22377,45534613,"Action, Horror, Sci-Fi",en,PG-13,0,1
17,tt6723592,Tenet,2020,8/22/20,150,205000000,7.8,69,144953,347100000,"Action, Sci-Fi",en,PG-13,0,1
18,tt8850222,Train to Busan Presents: Peninsula,2020,7/15/20,116,17000000,5.4,50,14971,35878266,"Action, Horror, Thriller",ko,Not Rated,0,1
19,tt7556122,The Old Guard,2020,7/10/20,125,70000000,6.6,70,114079,0,"Action, Adventure, Fantasy",en,R,0,1
20,tt6048922,Greyhound,2020,7/10/20,91,50300000,7,64,58431,0,"Action, Drama, History",en,PG-13,0,1
21,tt10620868,#Alive,2020,6/24/20,98,6300000,6.2,,20338,13416285,"Action, Drama, Horror",ko,TV-MA,0,1
22,tt8936646,Extraction,2020,4/24/20,116,65000000,6.7,56,148989,0,"Action, Thriller",en,R,0,1
23,tt8332922,A Quiet Place Part II,2020,4/21/21,97,0,,,0,0,"Drama, Horror, Sci-Fi",en,PG-13,0,1
24,tt8544498,The Way Back,2020,3/5/20,108,0,6.7,66,27414,14590514,"Drama, Sport",en,R,0,1
25,tt5797184,Escape from Pretoria,2020,3/6/20,106,0,6.8,56,17531,0,Thriller,en,PG-13,0,1
26,tt1051906,The Invisible Man,2020,2/26/20,124,7000000,7.1,72,149412,130234661,"Drama, Horror, Mystery",en,R,0,1
27,tt7146812,Onward,2020,2/29/20,102,200000000,7.4,61,87161,103181419,"Animation, Adventure, Comedy",en,PG,0,1
28,tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,2/5/20,109,75000000,6.1,60,152882,201858461,"Action, Adventure, Crime",en,R,0,1
